time,Texas_oil,Brent_oil,natural_gas,gasoline,heating_oil
2010/10/01,81.4,83.2,4,2.1,2.2
2010/11/01,84.1,85.9,4.2,2.3,2.3
2010/12/01,91.4,94.8,4.4,2.5,2.5
2011/01/01,92.2,101,4.4,2.5,2.7
2011/02/01,97,111.8,4,2.7,2.9
2011/03/01,106.7,117.4,4.4,3.1,3.1
2011/04/01,113.9,125.9,4.7,3.5,3.3
2011/05/01,102.7,116.7,4.7,3.2,3.1
2011/06/01,95.4,112.5,4.4,3,2.9
2011/07/01,95.7,116.7,4.1,3.1,3.1
2011/08/01,88.8,114.9,4.1,3,3.1
2011/09/01,79.2,102.8,3.7,2.6,2.8
2011/10/01,93.2,109.6,3.9,2.6,3
2011/11/01,100.4,110.5,3.6,2.6,3
2011/12/01,98.8,107.4,3,2.7,2.9
2012/01/01,98.5,111,2.5,2.9,3.1
2012/02/01,107.1,122.7,2.6,3,3.2
2012/03/01,103,122.9,2.1,3.4,3.2
2012/04/01,104.9,119.5,2.3,3.2,3.2
2012/05/01,86.5,101.9,2.4,2.8,2.7
2012/06/01,85,97.8,2.8,2.7,2.7
2012/07/01,88.1,104.9,3.2,2.9,2.8
2012/08/01,96.5,114.6,2.8,3.1,3.2
2012/09/01,92.2,112.4,3.3,3.3,3.2
2012/10/01,86.2,108.7,3.7,2.8,3.1
2012/11/01,88.9,111.2,3.6,2.8,3
2012/12/01,91.8,111.1,3.4,2.8,3
2013/01/01,97.5,115.6,3.3,3,3.1
2013/02/01,92.1,111.4,3.5,2.9,3
2013/03/01,97.2,110,4,3.1,2.9
2013/04/01,93.5,102.4,4.3,2.8,2.9
2013/05/01,92,100.4,4,2.8,2.8
2013/06/01,96.6,102.2,3.6,2.8,2.9
2013/07/01,105,107.7,3.4,3,3
2013/08/01,107.7,114,3.6,3,3.1
2013/09/01,102.3,108.4,3.6,2.6,3
2013/10/01,96.4,108.8,3.6,2.6,3
2013/11/01,92.7,109.7,4,2.7,3
2013/12/01,98.4,110.8,4.2,2.8,3.1
2014/01/01,97.5,106.4,4.9,2.6,3.3
2014/02/01,102.6,109.1,4.6,2.8,3.1
2014/03/01,101.6,107.8,4.4,2.9,2.9
2014/04/01,99.7,108.1,4.8,3,2.9
2014/05/01,102.7,109.4,4.5,3,2.9
2014/06/01,105.4,112.4,4.5,3.1,3
2014/07/01,98.2,106,3.8,2.8,2.9
2014/08/01,96,103.2,4.1,2.8,2.9
2014/09/01,91.2,94.7,4.1,2.6,2.6
2014/10/01,80.5,85.9,3.9,2.2,2.5
2014/11/01,66.2,70.2,4.1,1.9,2.2
2014/12/01,53.3,57.3,2.9,1.4,1.8
2015/01/01,48.2,53,2.7,1.4,1.7
2015/02/01,49.8,62.5,2.7,1.8,2.3
2015/03/01,47.6,55.1,2.6,1.8,1.7
2015/04/01,59.6,66.8,2.8,2,2
2015/05/01,60.3,65.5,2.6,2.1,2
2015/06/01,59.5,63.1,2.8,2.1,1.9
2015/07/01,47.1,51.9,2.7,1.8,1.6
2015/08/01,49.2,53.1,2.7,1.6,1.7
2015/09/01,45.1,48.4,2.5,1.4,1.5
2015/10/01,46.6,49.5,2.3,1.4,1.5
2015/11/01,41.7,44.5,2.2,1.4,1.3
2015/12/01,37,37.6,2.3,1.3,1.1
2016/01/01,33.6,34.7,2.3,1.1,1.1
2016/02/01,33.8,36,1.7,1,1.1
2016/03/01,38.3,39.6,2,1.4,1.2
2016/04/01,45.9,48.1,2.2,1.6,1.4
2016/05/01,49.1,49.7,2.3,1.6,1.5
2016/06/01,48.3,49.7,2.9,1.5,1.5
2016/07/01,41.6,42.5,2.9,1.3,1.3
2016/08/01,44.7,47,2.9,1.4,1.4
2016/09/01,48.2,49.1,2.9,1.5,1.5
2016/10/01,46.9,48.3,3,1.4,1.5
2016/11/01,49.4,50.5,3.4,1.5,1.6
2016/12/01,53.7,56.8,3.7,1.7,1.7
