,hidden_dim,mean_error
1,5,0.1343299153
2,6,0.1071637493
3,7,0.1290301901
4,8,0.1235031462
5,9,0.1289195685
6,10,0.1288741215
7,11,0.1218629322
8,12,0.1260966725
9,13,0.1155239229
10,14,0.156406804
11,15,0.1113502698
12,16,0.1243260733
13,17,0.8603837861
14,18,0.1154693768
15,19,0.8604532708
16,20,0.1088597762
17,21,0.8603675664
18,22,0.86045016
19,23,0.8596647906
20,24,0.8602266613
21,25,0.86045488
22,26,0.0905283191
23,27,0.8604529064
24,28,0.8604548825
25,29,0.1019090227
26,30,0.8604567944
