,hidden_dim,mean_error
1,5,0.1322355034
2,6,0.1277045638
3,7,0.1294574084
4,8,0.1423704481
5,9,0.1173464689
6,10,0.1120912157
7,11,0.1067622156
8,12,0.1253772639
9,13,0.1099688139
10,14,0.1272884886
11,15,0.1021679651
12,16,0.1107538692
13,17,0.1148473313
14,18,0.1209137018
15,19,0.1119130502
16,20,0.8604438242
17,21,0.1108357785
18,22,0.120096225
19,23,0.8604532004
20,24,0.860432363
21,25,0.8604557064
22,26,0.8602087407
23,27,0.8604546447
24,28,0.8604539368
25,29,0.8604080213
26,30,0.8604561019
,,0.1021679651
